OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00129300,VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA,CA,926266597,PRIVATE, 634 , 636 ," $29,71,196.00 ",636," $15,23,956.00 ", 653 , 663 ," $28,54,290.00 ",665," $14,41,333.00 ", 104 , 106 ," $16,25,056.00 ",109," $8,54,165.00 ", 4 , 4 ," $43,497.00 ",4," $17,731.00 "
00129400,SOUTHWESTERN COLLEGE,CA,919107299,PUBLIC, 69 , 69 ," $2,66,040.00 ",70," $1,31,910.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00129500,SOUTHWESTERN LAW SCHOOL,CA,900101106,PRIVATE, 378 , 378 ," $30,78,098.00 ",380," $15,57,653.00 ", 367 , 367 ," $42,07,647.00 ",370," $21,21,049.00 ", -   , -   , $-   ,0, $-   , 332 , 362 ," $99,89,279.00 ",362," $49,36,615.00 "
00129600,DOMINICAN SCHOOL OF PHILOSOPHY AND THEOLOGY,CA,947081295,PRIVATE, 21 , 21 ," $1,64,567.00 ",21," $1,01,750.00 ", 16 , 16 ," $1,36,051.00 ",16," $74,535.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00130200,SAINT MARY'S COLLEGE OF CALIFORNIA,CA,945562744,PRIVATE," 1,279 "," 1,286 "," $63,26,083.00 ","1,366"," $34,01,289.00 "," 1,265 "," 1,301 "," $60,16,792.00 ","1,399"," $33,37,034.00 ", 252 , 255 ," $58,30,938.00 ",255," $30,33,451.00 ", 28 , 31 ," $4,64,803.00 ",43," $2,87,477.00 "
00130500,STANFORD UNIVERSITY,CA,943051926,PRIVATE," 1,237 "," 1,244 "," $97,53,113.00 ","1,244"," $33,04,711.00 "," 1,235 "," 1,248 "," $1,32,05,853.00 ","1,249"," $44,78,365.00 ", 164 , 169 ," $40,63,374.00 ",169," $13,63,875.00 ", 413 , 435 ," $92,24,405.00 ",435," $33,05,581.00 "
00130700,FRESNO CITY COLLEGE,CA,937410002,PUBLIC, 27 , 27 ," $99,418.00 ",27," $49,710.00 ", 3 , 3 ," $8,779.00 ",3," $4,390.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00131400,"UNIVERSITY OF CALIFORNIA, IRVINE",CA,926970001,PUBLIC, -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , 4 , 4 ," $66,029.00 ",4," $22,011.00 ", -   , -   , $-   ,0, $-   
00131500,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",CA,900959000,PUBLIC," 11,350 "," 11,487 "," $6,58,45,418.00 ","11,512"," $2,50,72,665.00 "," 8,208 "," 8,675 "," $6,60,83,070.00 ","8,698"," $2,60,53,339.00 "," 1,201 "," 1,242 "," $1,73,96,882.00 ","1,244"," $61,09,604.00 "," 1,605 "," 1,663 "," $3,22,76,811.00 ","1,663"," $1,35,32,808.00 "
00131700,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,920930013,PUBLIC," 10,267 "," 10,644 "," $4,97,30,263.00 ","10,666"," $1,74,35,065.00 "," 5,983 "," 6,166 "," $2,37,29,135.00 ","6,174"," $87,61,650.00 ", 594 , 611 ," $79,74,977.00 ",612," $27,98,224.00 ", 154 , 168 ," $22,19,038.00 ",168," $7,77,825.00 "
00131900,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,941430246,PUBLIC," 1,012 "," 1,020 "," $82,58,819.00 ","1,164"," $30,13,467.00 ", 829 , 891 ," $1,76,69,559.00 ","1,017"," $65,46,544.00 ", -   , -   , $-   ,0, $-   , 77 , 85 ," $10,37,111.00 ",97," $3,82,699.00 "
00132200,UNIVERSITY OF REDLANDS,CA,923730999,PRIVATE," 1,419 "," 1,420 "," $65,98,143.00 ","1,427"," $33,20,010.00 "," 1,590 "," 1,663 "," $78,05,643.00 ","1,671"," $39,00,696.00 ", 266 , 278 ," $38,78,246.00 ",279," $20,30,579.00 ", 30 , 30 ," $3,60,519.00 ",31," $1,68,074.00 "
00132600,SANTA CLARA UNIVERSITY,CA,950534956,PRIVATE, -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , 382 , 387 ," $1,04,87,223.00 ",389," $36,28,499.00 ", 563 , 592 ," $1,65,12,149.00 ",598," $80,75,272.00 "
00132800,UNIVERSITY OF SOUTHERN CALIFORNIA,CA,900890001,PRIVATE," 10,686 "," 10,760 "," $7,04,75,848.00 ","10,817"," $3,57,38,554.00 "," 10,405 "," 10,763 "," $10,53,70,388.00 ","10,823"," $5,17,57,427.00 "," 1,514 "," 1,608 "," $4,00,14,063.00 ","1,634"," $2,05,38,915.00 "," 2,922 "," 3,289 "," $8,15,28,332.00 ","3,327"," $3,83,42,586.00 "
00132900,UNIVERSITY OF THE PACIFIC,CA,952110197,PRIVATE," 1,159 "," 1,159 "," $97,66,677.00 ","1,299"," $49,21,955.00 "," 1,114 "," 1,117 "," $1,80,32,948.00 ","1,253"," $91,19,352.00 ", -   , -   , $-   ,0, $-   , 925 , 935 ," $2,68,93,928.00 ","1,137"," $1,36,27,785.00 "
00133400,VENTURA COLLEGE,CA,930033899,PUBLIC, 140 , 140 ," $5,57,338.00 ",141," $2,81,584.00 ", 21 , 22 ," $1,04,987.00 ",22," $55,018.00 ", 2 , 2 ," $24,142.00 ",2," $9,500.00 ", -   , -   , $-   ,0, $-   
00133800,WEST VALLEY COLLEGE,CA,950705697,PUBLIC, 4 , 4 ," $15,000.00 ",4," $3,750.00 ", 1 , 1 ," $6,000.00 ",1," $1,500.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00134100,WESTMONT COLLEGE,CA,931081099,PRIVATE, 568 , 570 ," $25,25,305.00 ",577," $12,97,203.00 ", 507 , 509 ," $15,70,554.00 ",519," $7,83,212.00 ", 118 , 119 ," $22,90,207.00 ",120," $11,96,557.00 ", -   , -   , $-   ,0, $-   
00134200,WHITTIER COLLEGE,CA,906014413,PRIVATE, 949 , 956 ," $62,51,410.00 ",961," $31,71,525.00 ", 944 , 963 ," $72,25,783.00 ",969," $36,53,651.00 ", 117 , 124 ," $19,22,002.00 ",124," $9,68,730.00 ", 400 , 448 ," $1,08,26,220.00 ",452," $54,88,580.00 "
00134300,WOODBURY UNIVERSITY,CA,915041052,PRIVATE, 632 , 635 ," $33,79,241.00 ",637," $17,07,160.00 ", 580 , 603 ," $34,37,724.00 ",605," $17,42,481.00 ", 102 , 104 ," $15,26,264.00 ",108," $7,85,709.00 ", 10 , 11 ," $1,33,243.00 ",11," $61,715.00 "
00274100,AMERICAN JEWISH UNIVERSITY,CA,900771599,PRIVATE, 103 , 103 ," $7,38,383.00 ",103," $3,67,250.00 ", 90 , 90 ," $9,28,747.00 ",91," $4,71,064.00 ", 1 , 1 ," $17,863.00 ",1," $8,932.00 ", 14 , 16 ," $2,76,742.00 ",18," $1,32,461.00 "
00394700,"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",CA,941024978,PUBLIC," 1,093 "," 1,096 "," $92,57,373.00 ","1,097"," $46,60,717.00 "," 1,010 "," 1,013 "," $1,19,61,111.00 ","1,014"," $60,31,331.00 ", -   , -   , $-   ,0, $-   , 809 , 864 ," $1,56,34,869.00 ",867," $79,43,388.00 "
00394800,SAN FRANCISCO ART INSTITUTE,CA,941332299,PRIVATE, 259 , 259 ," $15,83,253.00 ",261," $8,16,207.00 ", 260 , 265 ," $19,37,142.00 ",267," $9,93,629.00 ", 33 , 33 ," $8,27,755.00 ",33," $4,22,379.00 ", 72 , 77 ," $12,17,745.00 ",78," $6,29,297.00 "
00405500,HEBREW UNION COLLEGE - JEWISH INSTITUTE OF RELIGION,CA,900073796,PRIVATE, 30 , 30 ," $2,53,562.00 ",30," $1,26,781.00 ", 17 , 17 ," $1,84,949.00 ",17," $92,474.00 ", -   , -   , $-   ,0, $-   , 4 , 4 ," $48,687.00 ",4," $32,458.00 "
00408000,STARR KING SCHOOL FOR THE MINISTRY,CA,947091299,PRIVATE, 33 , 33 ," $2,73,124.00 ",33," $1,36,562.00 ", 26 , 26 ," $2,79,683.00 ",26," $1,39,572.00 ", -   , -   , $-   ,0, $-   , 2 , 3 ," $37,859.00 ",3," $18,931.00 "
00448000,DE ANZA COMMUNITY COLLEGE,CA,950145793,PUBLIC, 98 , 98 ," $3,57,480.00 ",98," $1,29,140.00 ", 93 , 93 ," $4,32,715.00 ",93," $1,56,130.00 ", 1 , 1 ," $16,672.00 ",1," $5,558.00 ", -   , -   , $-   ,0, $-   
00448100,OHLONE COLLEGE,CA,945395884,PUBLIC, 111 , 111 ," $3,94,219.00 ",123," $2,21,607.00 ", 93 , 93 ," $4,54,140.00 ",99," $2,36,489.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00448400,JOHN F. KENNEDY UNIVERSITY,CA,945234817,PRIVATE, 347 , 348 ," $26,98,361.00 ",348," $10,28,322.00 ", 349 , 353 ," $38,24,359.00 ",354," $14,13,041.00 ", -   , -   , $-   ,0, $-   , 88 , 94 ," $14,49,099.00 ",94," $5,40,904.00 "
00449000,PATTEN UNIVERSITY,CA,946012699,PRIVATE, 178 , 178 ," $7,34,119.00 ",181," $3,35,476.00 ", 166 , 170 ," $8,16,273.00 ",172," $3,87,604.00 ", 7 , 7 ," $61,550.00 ",7," $21,775.00 ", -   , -   , $-   ,0, $-   
00449400,EVEREST COLLEGE,CA,924083752,PROPRIETARY, 243 , 243 ," $8,38,058.00 ",243," $3,80,954.00 ", 234 , 381 ," $10,83,917.00 ",381," $5,13,244.00 ", 18 , 18 ," $1,14,224.00 ",18," $56,799.00 ", -   , -   , $-   ,0, $-   
00450200,CITY COLLEGE OF SAN FRANCISCO,CA,941121821,PUBLIC, 544 , 544 ," $18,58,810.00 ",544," $9,86,276.00 ", 464 , 468 ," $21,08,605.00 ",468," $11,19,066.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00616500,LOS ANGELES COUNTY COLLEGE OF NURSING AND ALLIED HEALTH,CA,900331018,PUBLIC, 103 , 103 ," $3,49,300.00 ",103," $2,10,184.00 ", 82 , 82 ," $4,03,833.00 ",83," $2,44,186.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00673100,CASA LOMA COLLEGE,CA,914054523,PRIVATE, 90 , 91 ," $2,96,674.00 ",94," $1,51,184.00 ", 87 , 88 ," $3,34,241.00 ",91," $1,66,847.00 ", 2 , 2 ," $9,240.00 ",2," $4,621.00 ", -   , -   , $-   ,0, $-   
00697300,CANADA COLLEGE,CA,940611099,PUBLIC, 45 , 45 ," $1,74,859.00 ",45," $89,125.00 ", 35 , 35 ," $1,54,630.00 ",35," $77,315.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00697500,LINCOLN UNIVERSITY,CA,946122801,PRIVATE, 35 , 35 ," $1,02,949.00 ",36," $1,02,949.00 ", 32 , 36 ," $1,12,560.00 ",36," $1,12,560.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00701200,SAMUEL MERRITT UNIVERSITY,CA,946093108,PRIVATE, 637 , 643 ," $40,81,766.00 ",643," $25,07,885.00 ", 591 , 602 ," $56,43,644.00 ",602," $33,16,452.00 ", 21 , 21 ," $5,15,518.00 ",21," $3,00,376.00 ", 224 , 240 ," $54,14,162.00 ",243," $27,95,584.00 "
00705000,BELLUS ACADEMY,CA,919503616,PROPRIETARY, 15 , 15 ," $52,186.00 ",16," $28,217.00 ", 7 , 7 ," $33,125.00 ",7," $16,562.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00711500,MOORPARK COLLEGE,CA,930211695,PUBLIC, 79 , 79 ," $3,20,408.00 ",81," $1,61,416.00 ", 30 , 63 ," $1,75,620.00 ",65," $87,812.00 ", 1 , 1 ," $6,118.00 ",1," $3,059.00 ", -   , -   , $-   ,0, $-   
00716400,BRYAN COLLEGE,CA,900102501,PROPRIETARY, 150 , 150 ," $5,33,957.00 ",161," $1,89,111.00 ", 146 , 146 ," $9,02,630.00 ",155," $3,17,884.00 ", 9 , 9 ," $68,008.00 ",9," $25,863.00 ", -   , -   , $-   ,0, $-   
00718700,NORTH ADRIAN'S BEAUTY COLLEGE,CA,953502381,PROPRIETARY, 32 , 32 ," $1,04,881.00 ",33," $54,831.00 ", 27 , 27 ," $1,51,000.00 ",27," $77,000.00 ", 5 , 5 ," $47,300.00 ",5," $23,650.00 ", -   , -   , $-   ,0, $-   
00719000,WYOTECH,CA,945397663,PROPRIETARY, 292 , 293 ," $10,75,064.00 ",298," $5,43,143.00 ", 283 , 286 ," $12,88,959.00 ",290," $6,49,120.00 ", 19 , 19 ," $1,19,875.00 ",20," $62,457.00 ", -   , -   , $-   ,0, $-   
00723400,HEALD COLLEGE,CA,941033032,PROPRIETARY," 1,095 "," 1,096 "," $35,36,073.00 ","1,111"," $13,27,277.00 "," 1,049 "," 1,754 "," $45,43,740.00 ","1,778"," $16,27,814.00 ", 104 , 104 ," $5,70,401.00 ",104," $2,08,639.00 ", -   , -   , $-   ,0, $-   
00723600,ART INSTITUTE OF CALIFORNIA - LOS ANGELES (THE),CA,904053035,PROPRIETARY," 2,497 "," 2,562 "," $94,21,383.00 ","4,166"," $56,26,896.00 "," 2,511 "," 2,574 "," $1,12,83,238.00 ","4,179"," $68,05,044.00 ", 550 , 574 ," $96,99,011.00 ",954," $57,80,978.00 ", 1 , 1 ," $8,379.00 ",1," $2,793.00 "
00729600,COLEMAN UNIVERSITY,CA,921231506,PRIVATE, 123 , 123 ," $4,45,294.00 ",126," $1,63,550.00 ", 106 , 109 ," $5,27,697.00 ",111," $1,93,392.00 ", 2 , 2 ," $12,109.00 ",2," $4,037.00 ", -   , -   , $-   ,0, $-   
00747700,HEALD COLLEGE,CA,956706005,PROPRIETARY, 258 , 258 ," $8,63,728.00 ",262," $3,30,193.00 ", 248 , 439 ," $11,44,577.00 ",446," $4,27,535.00 ", 3 , 3 ," $15,618.00 ",3," $5,186.00 ", -   , -   , $-   ,0, $-   
00753600,COSUMNES RIVER COLLEGE,CA,958235799,PUBLIC, 88 , 88 ," $3,37,034.00 ",88," $1,67,642.00 ", 79 , 80 ," $3,73,234.00 ",80," $1,85,369.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00760600,EVEREST COLLEGE,CA,900102221,PROPRIETARY, 96 , 96 ," $3,32,975.00 ",96," $1,66,248.00 ", 92 , 168 ," $4,93,653.00 ",168," $2,45,500.00 ", 11 , 11 ," $62,285.00 ",11," $31,140.00 ", -   , -   , $-   ,0, $-   
00760700,CONCORDE CAREER COLLEGE,CA,916063134,PROPRIETARY, 54 , 54 ," $1,89,455.00 ",64," $94,317.00 ", 83 , 83 ," $3,50,637.00 ",100," $1,75,389.00 ", 19 , 19 ," $1,33,738.00 ",24," $70,542.00 ", -   , -   , $-   ,0, $-   
00771300,SKYLINE COLLEGE,CA,940661698,PUBLIC, 24 , 24 ," $87,384.00 ",24," $43,192.00 ", 16 , 16 ," $64,377.00 ",16," $31,189.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00793000,CONCORDE CAREER COLLEGE,CA,921131962,PROPRIETARY, 28 , 28 ," $96,499.00 ",28," $46,568.00 ", 26 , 26 ," $1,20,285.00 ",26," $58,621.00 ", 2 , 2 ," $6,024.00 ",2," $3,012.00 ", -   , -   , $-   ,0, $-   
00807100,CONCORDE CAREER COLLEGE,CA,928409201,PROPRIETARY, 143 , 143 ," $5,01,794.00 ",143," $2,19,474.00 ", 136 , 140 ," $6,09,059.00 ",140," $2,59,864.00 ", 31 , 31 ," $2,17,154.00 ",31," $86,623.00 ", -   , -   , $-   ,0, $-   
00807300,BUTTE COLLEGE,CA,959658399,PUBLIC, 836 , 841 ," $30,98,944.00 ",859," $16,12,502.00 ", 607 , 611 ," $26,68,445.00 ",628," $14,13,134.00 ", 12 , 12 ," $1,14,893.00 ",12," $57,447.00 ", -   , -   , $-   ,0, $-   
00809000,EVEREST COLLEGE,CA,918031310,PROPRIETARY, 180 , 180 ," $6,22,821.00 ",180," $3,11,341.00 ", 174 , 317 ," $8,77,262.00 ",318," $4,44,614.00 ", 28 , 28 ," $1,78,537.00 ",28," $89,264.00 ", -   , -   , $-   ,0, $-   
00809300,HEALD COLLEGE,CA,937041706,PROPRIETARY, 547 , 549 ," $16,81,276.00 ",587," $6,55,357.00 ", 516 , 886 ," $19,74,433.00 ",939," $7,50,037.00 ", 21 , 21 ," $79,098.00 ",22," $27,916.00 ", -   , -   , $-   ,0, $-   
00853200,HEALD COLLEGE,CA,945452352,PROPRIETARY, 563 , 564 ," $18,79,454.00 ",577," $7,12,600.00 ", 549 , 934 ," $23,37,482.00 ",953," $8,47,925.00 ", 29 , 30 ," $1,52,147.00 ",31," $54,200.00 ", -   , -   , $-   ,0, $-   
00853700,CONCORDE CAREER COLLEGE,CA,924083403,PROPRIETARY, 208 , 208 ," $7,40,478.00 ",213," $3,36,332.00 ", 202 , 202 ," $8,91,028.00 ",204," $3,96,567.00 ", 34 , 34 ," $2,51,731.00 ",35," $1,01,040.00 ", -   , -   , $-   ,0, $-   
00859600,WEST LOS ANGELES COLLEGE,CA,902303500,PUBLIC, 36 , 36 ," $1,49,750.00 ",36," $74,875.00 ", 20 , 20 ," $78,750.00 ",20," $39,375.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00884600,WRIGHT INSTITUTE (THE),CA,947041796,PRIVATE, 285 , 285 ," $23,31,226.00 ",286," $7,80,715.00 ", 290 , 290 ," $59,07,437.00 ",296," $19,42,132.00 ", -   , -   , $-   ,0, $-   , 55 , 56 ," $8,77,230.00 ",57," $2,87,585.00 "
00890300,COLLEGE OF THE CANYONS,CA,913551899,PUBLIC, 591 , 592 ," $20,45,938.00 ",592," $11,38,101.00 ", 566 , 570 ," $26,92,282.00 ",570," $14,83,663.00 ", 6 , 6 ," $52,874.00 ",6," $26,437.00 ", -   , -   , $-   ,0, $-   
00891800,SADDLEBACK COLLEGE,CA,926923699,PUBLIC, 90 , 90 ," $3,16,260.00 ",90," $1,59,005.00 ", 69 , 71 ," $2,39,933.00 ",71," $1,20,616.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00902200,ASSOCIATED TECHNICAL COLLEGE,CA,900171690,PROPRIETARY, 63 , 63 ," $2,20,500.00 ",63," $1,10,250.00 ", 29 , 29 ," $1,01,500.00 ",29," $52,500.00 ", 12 , 12 ," $42,000.00 ",12," $21,000.00 ", -   , -   , $-   ,0, $-   
00903200,EMPIRE COLLEGE,CA,954032122,PROPRIETARY, 79 , 79 ," $2,70,542.00 ",82," $1,08,855.00 ", 79 , 79 ," $4,22,290.00 ",84," $1,66,245.00 ", 1 , 1 ," $6,300.00 ",1," $2,100.00 ", -   , -   , $-   ,0, $-   
00927200,CRAFTON HILLS COLLEGE,CA,923991799,PUBLIC, 4 , 4 ," $9,001.00 ",4," $4,501.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00950900,SACRAMENTO CITY UNIFIED SCHOOL DISTRICT,CA,958241529,PUBLIC, 11 , 11 ," $38,287.00 ",11," $19,145.00 ", 14 , 14 ," $88,878.00 ",14," $44,441.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00974800,CARRINGTON COLLEGE CALIFORNIA,CA,958263203,PROPRIETARY," 1,095 "," 1,099 "," $23,80,835.00 ","1,537"," $13,99,838.00 "," 1,086 "," 1,094 "," $32,63,404.00 ","1,520"," $18,34,092.00 ", 97 , 97 ," $6,54,910.00 ",127," $3,39,137.00 ", -   , -   , $-   ,0, $-   
00998900,SANTA BARBARA BUSINESS COLLEGE,CA,930038053,PROPRIETARY, 20 , 20 ," $72,628.00 ",20," $25,766.00 ", 12 , 12 ," $54,444.00 ",12," $17,749.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
01011100,CERRO COSO COMMUNITY COLLEGE,CA,935559571,PUBLIC, -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , 4 , 4 ," $59,922.00 ",4," $29,961.00 ", -   , -   , $-   ,0, $-   
01014900,PEPPERDINE UNIVERSITY,CA,902634301,PRIVATE," 3,148 "," 3,184 "," $2,22,39,070.00 ","3,185"," $1,01,20,553.00 "," 3,323 "," 3,482 "," $3,12,64,961.00 ","3,483"," $1,40,22,869.00 ", 527 , 546 ," $90,80,859.00 ",547," $46,41,829.00 "," 1,069 "," 1,124 "," $2,62,85,234.00 ","1,124"," $1,18,41,177.00 "
01034000,LOS MEDANOS COLLEGE,CA,945655197,PUBLIC, 7 , 7 ," $25,162.00 ",7," $13,706.00 ", 1 , 1 ," $6,000.00 ",1," $3,000.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
01036500,CHARLES DREW UNIVERSITY OF MEDICINE AND SCIENCE,CA,900593025,PRIVATE, 137 , 139 ," $6,88,760.00 ",140," $2,46,582.00 ", 136 , 138 ," $10,20,553.00 ",139," $3,65,716.00 ", -   , -   , $-   ,0, $-   , 2 , 3 ," $50,000.00 ",3," $16,668.00 "
01036800,MENNONITE BRETHREN BIBLICAL SEMINARY,CA,937275097,PRIVATE, 35 , 35 ," $2,90,544.00 ",35," $1,42,085.00 ", 22 , 22 ," $2,01,995.00 ",22," $1,00,631.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
01039500,UNIVERSITY OF SAN DIEGO,CA,921102492,PRIVATE," 2,549 "," 2,604 "," $1,65,07,651.00 ","2,623"," $84,85,359.00 "," 2,569 "," 2,762 "," $1,99,31,415.00 ","2,771"," $1,01,29,550.00 ", 652 , 666 ," $1,63,66,410.00 ",670," $84,70,083.00 ", 835 , 900 ," $1,96,56,280.00 ",905," $96,94,503.00 "
01044100,PARDEE RAND GRADUATE SCHOOL,CA,904072138,PRIVATE, 1 , 1 ," $8,500.00 ",1," $2,834.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
01047400,MARYMOUNT COLLEGE,CA,902746299,PRIVATE, 97 , 97 ," $3,60,255.00 ",97," $1,97,003.00 ", 93 , 114 ," $3,54,995.00 ",114," $1,90,998.00 ", 65 , 65 ," $6,17,181.00 ",65," $3,14,493.00 ", -   , -   , $-   ,0, $-   
01083200,WESTERN STATE UNIVERSITY COLLEGE OF LAW,CA,928313014,PROPRIETARY, 307 , 307 ," $24,85,051.00 ",307," $12,93,461.00 ", 299 , 302 ," $35,15,116.00 ",302," $18,32,552.00 ", -   , -   , $-   ,0, $-   , 124 , 131 ," $23,05,304.00 ",131," $11,68,036.00 "
01085400,THOMAS JEFFERSON SCHOOL OF LAW,CA,921012928,PRIVATE, 816 , 818 ," $68,00,926.00 ",819," $38,01,654.00 ", 806 , 812 ," $93,15,208.00 ",812," $51,45,172.00 ", -   , -   , $-   ,0, $-   , 592 , 712 ," $1,67,83,739.00 ",727," $89,49,447.00 "
01102400,EVEREST COLLEGE,CA,941032091,PROPRIETARY, 375 , 375 ," $12,77,495.00 ",376," $6,48,362.00 ", 350 , 616 ," $19,49,040.00 ",618," $9,81,067.00 ", 14 , 14 ," $90,471.00 ",14," $45,232.00 ", -   , -   , $-   ,0, $-   
01110700,EVEREST COLLEGE,CA,928015231,PROPRIETARY, 278 , 278 ," $9,67,693.00 ",278," $4,61,905.00 ", 262 , 475 ," $13,60,383.00 ",475," $6,51,971.00 ", 29 , 29 ," $1,79,399.00 ",29," $87,987.00 ", -   , -   , $-   ,0, $-   
01110900,EVEREST COLLEGE,CA,913354631,PROPRIETARY, 291 , 291 ," $9,97,381.00 ",291," $5,03,658.00 ", 273 , 273 ," $14,69,262.00 ",273," $7,37,514.00 ", 32 , 32 ," $2,29,522.00 ",32," $1,15,796.00 ", -   , -   , $-   ,0, $-   
01111200,FASHION INSTITUTE OF DESIGN & MERCHANDISING,CA,900151421,PROPRIETARY," 1,435 "," 1,438 "," $58,56,747.00 ","2,253"," $30,76,978.00 "," 1,529 "," 1,533 "," $56,05,888.00 ","2,401"," $29,07,167.00 ", 730 , 746 ," $1,42,74,615.00 ","1,209"," $76,39,651.00 ", -   , -   , $-   ,0, $-   
01111700,ALLIANT INTERNATIONAL UNIVERSITY,CA,921311799,PRIVATE," 2,079 "," 2,082 "," $1,64,63,988.00 ","2,086"," $84,16,253.00 "," 2,108 "," 2,991 "," $3,44,46,491.00 ","2,996"," $1,74,07,962.00 ", 3 , 3 ," $27,500.00 ",3," $13,750.00 ", 656 , 733 ," $1,07,70,825.00 ",741," $55,70,078.00 "
01112100,EVEREST COLLEGE,CA,945414007,PROPRIETARY, 72 , 72 ," $2,43,209.00 ",72," $1,25,611.00 ", 70 , 98 ," $3,98,780.00 ",98," $2,01,280.00 ", 1 , 1 ," $5,786.00 ",1," $2,893.00 ", -   , -   , $-   ,0, $-   
01112300,EVEREST COLLEGE,CA,902474163,PROPRIETARY, 307 , 307 ," $10,53,737.00 ",309," $5,33,157.00 ", 291 , 549 ," $16,16,466.00 ",552," $8,16,498.00 ", 15 , 15 ," $95,680.00 ",15," $47,838.00 ", -   , -   , $-   ,0, $-   
01162600,WESTWOOD COLLEGE - SOUTH BAY,CA,905021148,PROPRIETARY, 561 , 561 ," $21,10,683.00 ",563," $7,32,482.00 ", 539 , 544 ," $29,57,911.00 ",548," $10,23,004.00 ", 47 , 47 ," $3,36,505.00 ",47," $1,14,331.00 ", -   , -   , $-   ,0, $-   
01164900,LOYOLA MARYMOUNT UNIVERSITY,CA,900452659,PRIVATE," 3,419 "," 3,441 "," $2,15,46,305.00 ","3,455"," $1,08,61,339.00 "," 3,347 "," 3,418 "," $2,33,81,471.00 ","3,434"," $1,17,52,690.00 ", 655 , 694 ," $1,58,63,771.00 ",699," $79,71,749.00 ", 885 , 911 ," $2,57,12,416.00 ",938," $1,28,14,790.00 "
01167200,MENDOCINO COLLEGE,CA,954823000,PUBLIC, 9 , 9 ," $36,500.00 ",9," $9,125.00 ", 5 , 5 ," $22,198.00 ",5," $5,597.00 ", 1 , 1 ," $5,000.00 ",1," $1,250.00 ", -   , -   , $-   ,0, $-   
01169600,NATIONAL POLYTECHNIC COLLEGE OF SCIENCE,CA,907446399,PRIVATE, 13 , 13 ," $42,274.00 ",13," $21,000.00 ", 16 , 16 ," $80,175.00 ",16," $39,751.00 ", 2 , 2 ," $16,670.00 ",2," $8,335.00 ", -   , -   , $-   ,0, $-   
01179200,FRANCISCAN SCHOOL OF THEOLOGY,CA,947091294,PRIVATE, 19 , 19 ," $1,50,376.00 ",19," $77,313.00 ", 12 , 13 ," $1,17,987.00 ",13," $57,759.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
01186500,CALIFORNIA HAIR DESIGN ACADEMY,CA,919415055,PROPRIETARY, 10 , 10 ," $30,833.00 ",10," $15,417.00 ", 5 , 5 ," $12,067.00 ",5," $6,034.00 ", 1 , 1 ," $2,900.00 ",1," $1,450.00 ", -   , -   , $-   ,0, $-   
01202600,BELLUS ACADEMY,CA,920216247,PROPRIETARY, 18 , 18 ," $59,832.00 ",19," $31,664.00 ", 13 , 13 ," $59,517.00 ",14," $30,038.00 ", 1 , 1 ," $7,872.00 ",1," $3,936.00 ", -   , -   , $-   ,0, $-   
